Crop,Year,State,Area (\'000 Hectares),Production (\'000 Tonnes),Yield (Kg per Ha))
Finger Millet (Ragi),1966-67,All India,"1,984.20","1,630.60",821.79
Finger Millet (Ragi),1967-68,All India,"2,291.20","1,884.20",822.36
Finger Millet (Ragi),1968-69,All India,"2,238.20","1,648.00",736.31
Finger Millet (Ragi),1969-70,All India,"2,783.40","2,117.20",760.65
Finger Millet (Ragi),1970-71,All India,"2,472.40","2,155.00",871.62
Finger Millet (Ragi),1971-72,All India,"2,425.00","2,208.50",910.72
Finger Millet (Ragi),1972-73,All India,"2,329.30","1,922.90",825.53
Finger Millet (Ragi),1973-74,All India,"2,359.90","2,071.90",877.96
Finger Millet (Ragi),1974-75,All India,"2,463.60","2,135.60",866.86
Finger Millet (Ragi),1975-76,All India,"2,629.50","2,796.70","1,063.59"
Finger Millet (Ragi),1976-77,All India,"2,496.30","2,044.70",819.09
Finger Millet (Ragi),1977-78,All India,"2,599.80","2,866.00","1,102.39"
Finger Millet (Ragi),1978-79,All India,"2,705.10","3,200.40","1,183.10"
Finger Millet (Ragi),1979-80,All India,"2,614.80","2,721.60","1,040.84"
Finger Millet (Ragi),1980-81,All India,"2,525.00","2,419.90",958.38
Finger Millet (Ragi),1981-82,All India,"2,610.40","2,960.50","1,134.12"
Finger Millet (Ragi),1982-83,All India,"2,411.70","2,223.10",921.8
Finger Millet (Ragi),1983-84,All India,"2,558.20","2,831.00","1,106.64"
Finger Millet (Ragi),1984-85,All India,"2,386.90","2,530.10","1,059.99"
Finger Millet (Ragi),1985-86,All India,"2,400.60","2,518.10","1,048.95"
Finger Millet (Ragi),1986-87,All India,"2,404.70","2,708.30","1,126.25"
Finger Millet (Ragi),1987-88,All India,"2,262.00","2,319.00","1,025.20"
Finger Millet (Ragi),1988-89,All India,"2,317.30","2,409.70","1,039.87"
Finger Millet (Ragi),1989-90,All India,"2,343.00","2,766.50","1,180.75"
Finger Millet (Ragi),1990-91,All India,"2,171.30","2,340.00","1,077.70"
Finger Millet (Ragi),1991-92,All India,"2,129.90","2,581.80","1,212.17"
Finger Millet (Ragi),1992-93,All India,"1,905.30","2,531.10","1,328.45"
Finger Millet (Ragi),1993-94,All India,"1,884.30","2,597.20","1,378.34"
Finger Millet (Ragi),1994-95,All India,"1,763.60","2,342.00","1,327.97"
Finger Millet (Ragi),1995-96,All India,"1,773.70","2,501.40","1,410.27"
Finger Millet (Ragi),1996-97,All India,"1,784.20","2,340.10","1,311.57"
Finger Millet (Ragi),1997-98,All India,"1,656.60","2,086.80","1,259.69"
Finger Millet (Ragi),1998-99,All India,"1,758.20","2,608.10","1,483.39"
Finger Millet (Ragi),1999-00,All India,"1,634.40","2,289.50","1,400.82"
Finger Millet (Ragi),2000-01,All India,"1,759.10","2,731.70","1,552.90"
Finger Millet (Ragi),2001-02,All India,"1,646.70","2,374.60","1,442.04"
Finger Millet (Ragi),2002-03,All India,"1,415.00","1,315.70",929.82
Finger Millet (Ragi),2003-04,All India,"1,666.40","1,965.70","1,179.61"
Finger Millet (Ragi),2004-05,All India,"1,552.70","2,432.40","1,566.56"
Finger Millet (Ragi),2005-06,All India,"1,533.90","2,353.60","1,534.39"
Finger Millet (Ragi),2006-07,All India,"1,177.40","1,443.60","1,226.09"
Finger Millet (Ragi),2007-08,All India,"1,387.10","2,152.20","1,551.58"
Finger Millet (Ragi),2008-09,All India,"1,381.40","2,039.90","1,476.69"
Finger Millet (Ragi),2009-10,All India,"1,268.01","1,888.46","1,489.31"
Finger Millet (Ragi),2010-11,All India,"1,286.19","2,193.45","1,705.38"
Finger Millet (Ragi),2011-12,All India,"1,175.78","1,929.24","1,640.81"
Finger Millet (Ragi),2012-13,All India,"1,131.00","1,574.40","1,392.04"
Finger Millet (Ragi),2013-14,All India,"1,193.60","1,982.90","1,661.28"
Finger Millet (Ragi),2014-15,All India,"1,208.10","2,060.90","1,705.90"
Finger Millet (Ragi),2015-16,All India,"1,138.20","1,821.90","1,600.69"
Finger Millet (Ragi),2016-17,All India,"1,016.10","1,385.10","1,363.15"
